platform,merchant,product_name,price,url
taobao,哥伦布进口网红饮料食品馆,Kinder健达缤纷乐T2 Bueno榛果威化牛奶巧克力休闲下午茶零食礼品,19.9,https://item.taobao.com/item.htm?id=674888068802&ns=1&abbucket=11#detail
taobao,幸福港港货店,费列罗Kinder bueno健达缤纷乐牛奶榛子夹心巧克力 网红儿童零食,25.9,https://item.taobao.com/item.htm?id=744124573003&ns=1&abbucket=11#detail
taobao,广州市东南亚HALAL FOOD GUANG ZHOU,Kinder Bueno缤纷乐3条装牛奶榛果巧克力43g/3Pcs条意大利巧克力,20.0,https://item.taobao.com/item.htm?id=563984664291&ns=1&abbucket=11#detail
taobao,优品港,香港代购意大利健达缤纷乐巧克力kinder bueno白巧克力威化129g,26.99,https://item.taobao.com/item.htm?id=559546333471&ns=1&abbucket=11#detail
taobao,哥伦布进口网红饮料食品馆,Kinder Bueno经典缤纷乐健达夹心牛奶巧克力榛果威化网红休闲零食,52.9,https://item.taobao.com/item.htm?id=675553478007&ns=1&abbucket=11#detail
taobao,晓乐零食,原装进口健达夹心牛奶巧克力T8盒装夹心巧克力Kinder儿童礼物零食,13.6,https://item.taobao.com/item.htm?id=751055362148&ns=1&abbucket=11#detail
taobao,食家店,意大利产原装 Kinder健达缤纷乐牛奶榛果威化巧克力童零食T2*30包,89.0,https://item.taobao.com/item.htm?id=613157571735&ns=1&abbucket=11#detail
taobao,宜圣进口食品店,现货Kinder健达牛奶巧克力T8条装建达夹心圣诞儿童礼物年货零食,17.01,https://item.taobao.com/item.htm?id=751026677875&ns=1&abbucket=11#detail
taobao,广人港铺百货商行,香港代购 健达缤纷乐kinder bueno榛子牛奶巧克力 3包x43g 包装,25.0,https://item.taobao.com/item.htm?id=45124180490&ns=1&abbucket=11#detail
taobao,之不开坤付的小店,Kinder bueno健达缤纷乐牛奶榛子夹心巧克力 夹心威化棒网红零食,51.8,https://item.taobao.com/item.htm?id=748004180650&ns=1&abbucket=11#detail
tmall,kinder健达旗舰店,Kinder健达奇趣蛋粉色版9颗牛奶可可酱糖果分享半边玩具盲盒,85.5,https://click.simba.taobao.com/cc_im?p=kinder%20bueno&s=1191182691&k=1113&e=VvF2h9ONKqH9BVppgbH2CKwlvJ39WRQIL5tmmpEkLxS6knxLPidJaoir6INgaPOGLOywkD58z%2Bpob7Yy4ANWsUwsNylOo7fZ7Espb7bVzfutxTKX2ueTo4FpI5TuTFsPJutowZ%2FwjnZX6wXIAFWp5iPE4rS0ZF0xLavDuUGEYJGh1zwaqfnkg3LwGReeTsBXgHvMWEx3hjFbjWKsdNis0etx90t1ZK0BSIMSqLfOZ%2FsRABxCyfGSfXiQ5ndAB5Ldyy9N%2Fk2IZbAVhzry7zzOYFXoG68tAoKVecGxgQLcahpo6VHQzlOPyRnBjsjuYUzaTkcQkG94850NOsa06f2V8L5CpZ0ctPSWZnAAwD2QoDqLjQdoTYcMlgeUSMIO87Q%2FuCgd4QV9smJLxdNfrNCwTYgOBn%2FoOMzMeejjJSdmpAmegymRqJ9dsxA%2F29MYPa%2B%2FlJ3gtqifGT6go4kiDqWIKNSaVbDT1%2FQifIU3R%2BDf2d30a0Lxod8iShrbonw7hPH1Zh27fhuykOs80s9pg1IQZycIHT4TCvuWX3DhA%2BJ99z%2B%2F4R7hLevBxgatGyFffnamsT6jk0tvff19sJKQHQ1on%2F96o5uH5yzEPlJSfxMxV0ih3OgqLGeJp7bKxlNAouGZhLUZuXGHGW0k24QyZ0TlBXgMYeI0WrGJXsbSfEgnpuKG66eEolHLTNcP0KoJsayqwcHPoHsKQ6w5Q4ekMDVClu3nSo6zvF5yRgk3LIILLkbiSMrpyGQ658gt0T3%2FYb%2B5Wmcafk2aVkTmI1l355JZn5la%2BtvslnX5uO8%2FbxRYQ2lCNjsfdBUK%2BVtrpJE57HjuWw6ZGMF1Y2laldX2zIM6%2BwWDHivcVlvOghuYmTi8YivP3A%2FnOSvMCpBlx%2BKa1bOeK3lWp%2B46P5VCU1vhzVju2VcRVH%2FzRsl3F06TECIj20dPhg2Cjdnys2cS4%2FT2%2F%2FXObQvjA0QWOeDd9YeqzJYd8QnZSjQcmTnLv72SbBNzlo9VO90wl7w%2BnmraY42WXb2z4XrqCd%2B7cPaTCtjHYgx8euhprnKmexDtSfJLmOt7N2iGdGP3t3N8E%2FNAXIj%2BD5Eg8TJohOvhfSAen5DrDO4YqA%3D%3D
tmall,kinder健达旗舰店,kinder健达8条装*10盒夹心牛奶巧克力制品进口奶源儿童零食,175.0,https://detail.tmall.com/item.htm?id=40736721456&ns=1&abbucket=11
tmall,岚木食品专营店,kinder健达牛奶巧克力8条盒装建达儿童圣诞节小吃糖果休闲零食,63.48,https://detail.tmall.com/item.htm?id=633854841930&ns=1&abbucket=11
tmall,岚木食品专营店,kinder健达牛奶巧克力8条盒装建达儿童礼物糖果圣诞节零食食品,27.9,https://detail.tmall.com/item.htm?id=634171578241&ns=1&abbucket=11
tmall,kinder健达旗舰店,Kinder健达4条装x12盒夹心牛奶巧克力制品休闲零食儿童休闲零食,112.0,https://detail.tmall.com/item.htm?id=575332411880&ns=1&abbucket=11
tmall,雨味湘食品旗舰店,Kinder健达缤纷乐Bueno T2牛奶榛果威化巧克力条休闲零食亲友礼品,22.68,https://detail.tmall.com/item.htm?id=762935664531&ns=1&abbucket=11
tmall,中诚食品专营店,Kinder进口健达牛奶巧克力t8条装建达夹心圣诞节儿童零食礼物糖果,28.3,https://detail.tmall.com/item.htm?id=755443386819&ns=1&abbucket=11
tmall,kinder健达旗舰店,Kinder健达缤纷乐2条x18包牛奶榛果威化巧克力制品 进口零食白巧,158.4,https://detail.tmall.com/item.htm?id=40735545910&ns=1&abbucket=11
tmall,牧丰物语旗舰店,kinder健达缤纷乐牛奶榛子威化夹心巧克力棒儿童零食（代可可脂）,46.72,https://detail.tmall.com/item.htm?id=684638000431&ns=1&abbucket=11
tmall,kinder健达旗舰店,Kinder健达奇趣蛋蓝色粉色版9颗牛奶可可酱糖果半边巧克力儿童,85.5,https://detail.tmall.com/item.htm?id=670515992340&ns=1&abbucket=11
jd,飕淘卖场店,健达（Kinder）奇趣蛋牛奶巧克力进口糖果零食玩具儿童生日圣诞节礼物幼儿园活动 （11月产）奇趣蛋男女混合12粒,65.9,https://item.jd.com/42356570681.html
