platform,merchant,product_name,price,url
taobao,欧美嘉食品商行,慕尼黑白肠熏煮德式烧肠烧烤香肠MUNICH FLAVOR WHITE SAUSAGES,29.0,https://item.taobao.com/item.htm?id=717946451476&ns=1&abbucket=11#detail
taobao,克娜克德式香肠企业店,克娜克Knacker慕尼黑白肠德式肉肠德国巴伐利亚香肠水煮早餐肠,72.0,https://item.taobao.com/item.htm?id=703138815423&ns=1&abbucket=11#detail
taobao,leoの咖啡,ISU意口艺脍慕尼黑白香肠法兰克福维也纳德式早餐意华脆皮热狗肠,28.0,https://item.taobao.com/item.htm?id=759378103827&ns=1&abbucket=11#detail
taobao,美食猎人,意华ISU慕尼黑白肠300g1kg德国风味烤肠 德式白香肠 巴伐利亚风味,38.0,https://item.taobao.com/item.htm?id=613924428480&ns=1&abbucket=11#detail
taobao,辉隆食品贸易,意华ISU慕尼黑白肠300g1kg德国风味烤肠 德式白香肠 巴伐利亚风味,38.0,https://item.taobao.com/item.htm?id=603722727881&ns=1&abbucket=11#detail
taobao,克娜克德式香肠企业店,克娜克Knacker德式煎盘肠无淀粉肉肠德国蜗牛肠小香肠圈圈肠西餐,78.0,https://item.taobao.com/item.htm?id=703124410988&ns=1&abbucket=11#detail
taobao,杭州雨润食品,欧瑞思2KG罗勒叶香肠罗列叶香肠德式香肠烧烤香肠油煎香肠西餐肠,100.0,https://item.taobao.com/item.htm?id=633660725541&ns=1&abbucket=11#detail
taobao,Charlie进口食品2,HALAL WHTE SAUSAGE 500g 清真德国风味慕尼黑白香肠包邮,42.0,https://item.taobao.com/item.htm?id=711460363168&ns=1&abbucket=11#detail
taobao,美食猎人,Beretta罗勒叶香肠300gbasilsausage德国风味火山石烤肠早餐肉肠,18.9,https://item.taobao.com/item.htm?id=623386294425&ns=1&abbucket=11#detail
taobao,杭州雨润食品,欧瑞思2KG慕尼黑白肠德式风味香肠烧烤香肠油煎香肠酒店西餐食材,100.0,https://item.taobao.com/item.htm?id=638930714632&ns=1&abbucket=11#detail
